from_id,to_id,from_type,to_type,from_location,to_location,distance_miles,travel_time_minutes,deadheading_cost,waiting_cost,delay_risk_cost,total_cost,waiting_time_minutes
fellsway_garage,65802629.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802630.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802631.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802632.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802633.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802634.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802635.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802636.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802637.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802657.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802658.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802659.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802660.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802661.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802662.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802663.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802664.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802665.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802666.0,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802667.0,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
65802629.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802630.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802631.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802632.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802633.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802634.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802635.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802636.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802637.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802657.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802658.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802659.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802660.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802661.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802662.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802663.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802664.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802665.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802666.0,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802667.0,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802629.0,65802630.0,trip,trip,elm,elm,0.1,0.5,0.75,1.75,15.933333333333334,18.433333333333334,3.5
65802629.0,65802631.0,trip,trip,elm,welst,1.5,7.5,11.25,5.75,15.933333333333334,32.93333333333334,11.5
65802629.0,65802632.0,trip,trip,elm,elm,0.1,0.5,0.75,16.75,15.933333333333334,33.43333333333334,33.5
65802629.0,65802633.0,trip,trip,elm,welst,1.5,7.5,11.25,20.75,15.933333333333334,47.93333333333334,41.5
65802629.0,65802634.0,trip,trip,elm,elm,0.1,0.5,0.75,31.75,15.933333333333334,48.43333333333334,63.5
65802629.0,65802635.0,trip,trip,elm,welst,1.5,7.5,11.25,35.75,15.933333333333334,62.93333333333334,71.5
